_id,parcel_id,address,zip_code,owner,property_type,create_date,latest_inspection_result,latest_inspection_score,record_number,inspection_status,latitude,longitude,neighborhood,council_district,ward
79366,0015L00194000000,"113 CHALFONT ST, Pittsburgh, 15210",15210,JAMES CHARMETTE Y,Condemned/Dead End Property,2020-08-26,Fail,2,0015L00194000000,Active,40.4167898832,-80.0053012272,Beltzhoover,3,18
79367,0015L00194000000,"113 CHALFONT ST, Pittsburgh, 15210",15210,JAMES CHARMETTE Y,Condemned/Dead End Property,2024-01-04,Pass,0,0015L00194000000,Active,40.4167898832,-80.0053012272,Beltzhoover,3,18
79368,0232B00068000000,"1825 MAPLEWOOD AVE, Pittsburgh, 15221",15221,SLOAN MALCOLM & LILLIAN,Condemned/Dead End Property,2024-02-07,,,0232B00068000000,Active,40.4520782036,-79.8780199575,East Hills,9,13
79369,0232B00068000000,"1825 MAPLEWOOD AVE, Pittsburgh, 15221",15221,SLOAN MALCOLM & LILLIAN,Condemned/Dead End Property,2024-02-07,Fail,1,0232B00068000000,Active,40.4520782036,-79.8780199575,East Hills,9,13
79370,0011A00235000000,No primary address specified,15219,BLAIR WILLIAM HOWARD,Condemned/Dead End Property,2020-12-03,Pass,0,0011A00235000000,Active,40.4412621566,-79.979691369,Crawford-Roberts,6,3
79371,0185S00058000000,"5622 DELLAGLEN AVE, Pittsburgh, PA 15207",15207,MS CAPITAL GROUP PITTSBURGH LLC,Condemned/Dead End Property,2020-08-27,Fail,1,0185S00058000000,Active,40.3672019816,-79.9199499228,Lincoln Place,5,31
79372,0014N00219000000,"418 ROCHELLE ST, Pittsburgh, 15210",15210,GREEN NICOLE,Condemned/Dead End Property,2025-05-12,Fail,3,0014N00219000000,Active,40.4147469526,-79.9961923264,Knoxville,3,30
79373,0027B00097000000,"3216 CAMP ST, Pittsburgh, 15219",15219,SOUTHERS MARK C,Condemned/Dead End Property,2024-05-14,Fail,1,0027B00097000000,Active,40.4518320374,-79.958763234,Upper Hill,6,5
79374,0015L00050000000,"56 LAFFERTY AVE, Pittsburgh, 15210",15210,HAYES JAMES HAROLD JR & IRIS DENISE (W),Condemned/Dead End Property,2020-09-03,Pass,0,0015L00050000000,Active,40.4174140647,-80.0076376141,Beltzhoover,3,18
79375,0046G00142000000,No primary address specified,15214,CITY OF PITTSBURGH,Condemned/Dead End Property,2023-08-22,,,0046G00142000000,Active,40.4675426049,-80.0050202229,Perry South,6,26
79376,0057C00112000A00,No primary address specified,15207,CITY OF PITTSBURGH,Condemned/Dead End Property,2024-03-27,Pass,0,0057C00112000A00,Active,40.4022527629,-79.9408954067,Hazelwood,5,15
79377,0055S00051000000,No primary address specified,15207,KELLY CARROLL & DOROTHY L (W),Condemned/Dead End Property,2025-11-05,,,0055S00051000000,Active,40.4142730529,-79.9329139658,Hazelwood,5,15
79378,0022R00240000000,"1204 HAMLIN ST, Pittsburgh, 15233",15233,CITY OF PITTSBURGH,Condemned/Dead End Property,2025-12-04,Fail,2,0022R00240000000,Active,40.4533646212,-80.0227500746,Manchester,6,21
79379,0042J00191000000,"1015 STANHOPE ST, Pittsburgh, 15204",15204,FITCH JAMES H,Condemned/Dead End Property,2020-12-03,Pass,0,0042J00191000000,Active,40.4567020444,-80.0631505688,Sheraden,2,20
79380,0035G00305000000,"730 HAMPSHIRE AVE, Pittsburgh, 15216",15216,"",Condemned/Dead End Property,2023-12-13,Pass,0,0035G00305000000,Active,40.4109539936,-80.0216498173,Beechview,4,19
79381,0014P00093000000,"232 ZARA ST, Pittsburgh, 15210",15210,USTVREA LLC,Condemned/Dead End Property,2023-04-28,Pass,0,0014P00093000000,Active,40.4156043812,-79.992144286,Knoxville,3,30
79382,0014P00093000000,"232 ZARA ST, Pittsburgh, 15210",15210,USTVREA LLC,Condemned/Dead End Property,2023-05-17,Fail,2,0014P00093000000,Active,40.4156043812,-79.992144286,Knoxville,3,30
79383,0010F00126000000,"2284 BEDFORD AVE, Pittsburgh, 15219",15219,GRIFFIN YVONNE,Condemned/Dead End Property,2025-02-14,Fail,2,0010F00126000000,Active,40.4490839895,-79.9756946272,Middle Hill,6,5
79384,0174B00130000000,No primary address specified,15208,MOORE MELVIN L,Condemned/Dead End Property,2023-03-06,Pass,0,0174B00130000000,Active,40.461470636,-79.8927890243,Homewood North,9,13
